

TrainId=2 Delay=915 FreeRun=3044 	Final Delay=1060
T18 Train2 AimedDepartureTime=0 WaitTime=300 BaseTime=915 RunTime=480	OptSolTime=915
T17 Train2 AimedDepartureTime=0 WaitTime=0 BaseTime=1395 RunTime=180	OptSolTime=1395
T16 Train2 AimedDepartureTime=0 WaitTime=0 BaseTime=1575 RunTime=74	OptSolTime=1666
T15 Train2 AimedDepartureTime=0 WaitTime=0 BaseTime=1649 RunTime=186	OptSolTime=1740
T14 Train2 AimedDepartureTime=0 WaitTime=0 BaseTime=1835 RunTime=159	OptSolTime=1926
T13 Train2 AimedDepartureTime=0 WaitTime=0 BaseTime=1994 RunTime=247	OptSolTime=2085
T12 Train2 AimedDepartureTime=1326 WaitTime=0 BaseTime=2241 RunTime=98	OptSolTime=2386
T11 Train2 AimedDepartureTime=1424 WaitTime=0 BaseTime=2339 RunTime=436	OptSolTime=2484
T10 Train2 AimedDepartureTime=2160 WaitTime=300 BaseTime=3075 RunTime=570	OptSolTime=3220
T9 Train2 AimedDepartureTime=2730 WaitTime=0 BaseTime=3645 RunTime=82	OptSolTime=3790
T8 Train2 AimedDepartureTime=2812 WaitTime=0 BaseTime=3727 RunTime=78	OptSolTime=3872
T7 Train2 AimedDepartureTime=2890 WaitTime=0 BaseTime=3805 RunTime=52	OptSolTime=3950
T5 Train2 AimedDepartureTime=2942 WaitTime=0 BaseTime=3857 RunTime=26	OptSolTime=4002
T3 Train2 AimedDepartureTime=2968 WaitTime=0 BaseTime=3883 RunTime=76	OptSolTime=4028
T1 Train2 AimedDepartureTime=3044 WaitTime=0 BaseTime=3959 RunTime=196	OptSolTime=4104

TrainId=10 Delay=575 FreeRun=17308 	Final Delay=11910
T23 Train10 AimedDepartureTime=10726 WaitTime=0 BaseTime=11301 RunTime=540	OptSolTime=22636
T22 Train10 AimedDepartureTime=11506 WaitTime=240 BaseTime=12081 RunTime=480	OptSolTime=23416
T21 Train10 AimedDepartureTime=11986 WaitTime=0 BaseTime=12561 RunTime=132	OptSolTime=23896
T20 Train10 AimedDepartureTime=12118 WaitTime=0 BaseTime=12693 RunTime=408	OptSolTime=24028
T19 Train10 AimedDepartureTime=12766 WaitTime=240 BaseTime=13341 RunTime=457	OptSolTime=24676
T18 Train10 AimedDepartureTime=13223 WaitTime=0 BaseTime=13798 RunTime=241	OptSolTime=25133
T17 Train10 AimedDepartureTime=13464 WaitTime=0 BaseTime=14039 RunTime=304	OptSolTime=25374
T16 Train10 AimedDepartureTime=13768 WaitTime=0 BaseTime=14343 RunTime=102	OptSolTime=25678
T15 Train10 AimedDepartureTime=13870 WaitTime=0 BaseTime=14445 RunTime=197	OptSolTime=25780
T14 Train10 AimedDepartureTime=14067 WaitTime=0 BaseTime=14642 RunTime=190	OptSolTime=25977
T13 Train10 AimedDepartureTime=14257 WaitTime=0 BaseTime=14832 RunTime=292	OptSolTime=26167
T12 Train10 AimedDepartureTime=14549 WaitTime=0 BaseTime=15124 RunTime=108	OptSolTime=26459
T11 Train10 AimedDepartureTime=14657 WaitTime=0 BaseTime=15232 RunTime=749	OptSolTime=26567
T10 Train10 AimedDepartureTime=16006 WaitTime=600 BaseTime=16581 RunTime=900	OptSolTime=27916
T9 Train10 AimedDepartureTime=16906 WaitTime=0 BaseTime=17481 RunTime=98	OptSolTime=28816
