

TrainId=98 Delay=0 FreeRun=28145 	Final Delay=0
T16 Train98 AimedDepartureTime=1941 WaitTime=840 BaseTime=1941 RunTime=977	OptSolTime=1941
T15 Train98 AimedDepartureTime=2918 WaitTime=0 BaseTime=2918 RunTime=105	OptSolTime=2918
T14 Train98 AimedDepartureTime=3023 WaitTime=0 BaseTime=3023 RunTime=217	OptSolTime=3023
T13 Train98 AimedDepartureTime=3240 WaitTime=0 BaseTime=3240 RunTime=108	OptSolTime=3240
T12 Train98 AimedDepartureTime=3348 WaitTime=0 BaseTime=3348 RunTime=162	OptSolTime=3348
T11 Train98 AimedDepartureTime=3510 WaitTime=0 BaseTime=3510 RunTime=425	OptSolTime=3510
T10 Train98 AimedDepartureTime=3935 WaitTime=0 BaseTime=3935 RunTime=300	OptSolTime=3935
T9 Train98 AimedDepartureTime=4235 WaitTime=0 BaseTime=4235 RunTime=586	OptSolTime=4235
T8 Train98 AimedDepartureTime=5061 WaitTime=240 BaseTime=5061 RunTime=703	OptSolTime=5061
T7 Train98 AimedDepartureTime=5764 WaitTime=0 BaseTime=5764 RunTime=241	OptSolTime=5764
T6 Train98 AimedDepartureTime=6005 WaitTime=0 BaseTime=6005 RunTime=6856	OptSolTime=6005
T5 Train98 AimedDepartureTime=19221 WaitTime=6360 BaseTime=19221 RunTime=6751	OptSolTime=19221
T4 Train98 AimedDepartureTime=25972 WaitTime=0 BaseTime=25972 RunTime=279	OptSolTime=25972
T3 Train98 AimedDepartureTime=26251 WaitTime=0 BaseTime=26251 RunTime=830	OptSolTime=26251
T2 Train98 AimedDepartureTime=27381 WaitTime=300 BaseTime=27381 RunTime=764	OptSolTime=27381
T1 Train98 AimedDepartureTime=28145 WaitTime=0 BaseTime=28145 RunTime=736	OptSolTime=28145

TrainId=162 Delay=27 FreeRun=6521 	Final Delay=6340
T25 Train162 AimedDepartureTime=1761 WaitTime=60 BaseTime=1788 RunTime=212	OptSolTime=1788
T24 Train162 AimedDepartureTime=1973 WaitTime=0 BaseTime=2000 RunTime=148	OptSolTime=2000
T23 Train162 AimedDepartureTime=2151 WaitTime=30 BaseTime=2178 RunTime=150	OptSolTime=2178
T22 Train162 AimedDepartureTime=2331 WaitTime=30 BaseTime=2358 RunTime=150	OptSolTime=2358
T21 Train162 AimedDepartureTime=2511 WaitTime=30 BaseTime=2538 RunTime=149	OptSolTime=2538
T20 Train162 AimedDepartureTime=2660 WaitTime=0 BaseTime=2687 RunTime=45	OptSolTime=2687
T19 Train162 AimedDepartureTime=2705 WaitTime=0 BaseTime=2732 RunTime=196	OptSolTime=2732
T18 Train162 AimedDepartureTime=2961 WaitTime=60 BaseTime=2988 RunTime=300	OptSolTime=2988
T17 Train162 AimedDepartureTime=3291 WaitTime=30 BaseTime=3318 RunTime=210	OptSolTime=3318
T16 Train162 AimedDepartureTime=3531 WaitTime=30 BaseTime=3558 RunTime=210	OptSolTime=3558
T15 Train162 AimedDepartureTime=3771 WaitTime=30 BaseTime=3798 RunTime=150	OptSolTime=3798
T14 Train162 AimedDepartureTime=3951 WaitTime=30 BaseTime=3978 RunTime=208	OptSolTime=3978
T13 Train162 AimedDepartureTime=4159 WaitTime=0 BaseTime=4186 RunTime=81	OptSolTime=4186
T12 Train162 AimedDepartureTime=4240 WaitTime=0 BaseTime=4267 RunTime=161	OptSolTime=4267
T11 Train162 AimedDepartureTime=4441 WaitTime=40 BaseTime=4468 RunTime=700	OptSolTime=4468
T10 Train162 AimedDepartureTime=5321 WaitTime=180 BaseTime=5348 RunTime=420	OptSolTime=5348
T9 Train162 AimedDepartureTime=5741 WaitTime=0 BaseTime=5768 RunTime=240	OptSolTime=5768
T8 Train162 AimedDepartureTime=6011 WaitTime=30 BaseTime=6038 RunTime=330	OptSolTime=6038
T7 Train162 AimedDepartureTime=6341 WaitTime=0 BaseTime=6368 RunTime=180	OptSolTime=6368
T6 Train162 AimedDepartureTime=6521 WaitTime=0 BaseTime=6548 RunTime=420	OptSolTime=12861

TrainId=163 Delay=16 FreeRun=3350 	Final Delay=1068
T7 Train163 AimedDepartureTime=0 WaitTime=0 BaseTime=16 RunTime=180	OptSolTime=16
T8 Train163 AimedDepartureTime=180 WaitTime=0 BaseTime=196 RunTime=270	OptSolTime=196
T9 Train163 AimedDepartureTime=480 WaitTime=30 BaseTime=496 RunTime=240	OptSolTime=496
T10 Train163 AimedDepartureTime=720 WaitTime=0 BaseTime=736 RunTime=240	OptSolTime=736
T11 Train163 AimedDepartureTime=960 WaitTime=0 BaseTime=976 RunTime=320	OptSolTime=1324
T12 Train163 AimedDepartureTime=1320 WaitTime=40 BaseTime=1336 RunTime=107	OptSolTime=1684
T13 Train163 AimedDepartureTime=1427 WaitTime=0 BaseTime=1443 RunTime=72	OptSolTime=1791
T14 Train163 AimedDepartureTime=1499 WaitTime=0 BaseTime=1515 RunTime=211	OptSolTime=1863
T15 Train163 AimedDepartureTime=1740 WaitTime=30 BaseTime=1756 RunTime=150	OptSolTime=2104
T16 Train163 AimedDepartureTime=1920 WaitTime=30 BaseTime=1936 RunTime=90	OptSolTime=2988
T17 Train163 AimedDepartureTime=2040 WaitTime=30 BaseTime=2056 RunTime=150	OptSolTime=3108
T18 Train163 AimedDepartureTime=2220 WaitTime=30 BaseTime=2236 RunTime=300	OptSolTime=3288
T19 Train163 AimedDepartureTime=2700 WaitTime=180 BaseTime=2716 RunTime=90	OptSolTime=3768
T20 Train163 AimedDepartureTime=2790 WaitTime=0 BaseTime=2806 RunTime=30	OptSolTime=3858
T21 Train163 AimedDepartureTime=2820 WaitTime=0 BaseTime=2836 RunTime=150	OptSolTime=3888
T22 Train163 AimedDepartureTime=3000 WaitTime=30 BaseTime=3016 RunTime=90	OptSolTime=4068
T23 Train163 AimedDepartureTime=3120 WaitTime=30 BaseTime=3136 RunTime=90	OptSolTime=4188
T24 Train163 AimedDepartureTime=3240 WaitTime=30 BaseTime=3256 RunTime=110	OptSolTime=4308
T25 Train163 AimedDepartureTime=3350 WaitTime=0 BaseTime=3366 RunTime=250	OptSolTime=4418

TrainId=148 Delay=134 FreeRun=2570 	Final Delay=134
T14 Train148 AimedDepartureTime=0 WaitTime=30 BaseTime=134 RunTime=208	OptSolTime=134
T13 Train148 AimedDepartureTime=0 WaitTime=0 BaseTime=342 RunTime=81	OptSolTime=342
T12 Train148 AimedDepartureTime=289 WaitTime=0 BaseTime=423 RunTime=161	OptSolTime=423
T11 Train148 AimedDepartureTime=490 WaitTime=40 BaseTime=624 RunTime=700	OptSolTime=624
T10 Train148 AimedDepartureTime=1370 WaitTime=180 BaseTime=1504 RunTime=420	OptSolTime=1504
T9 Train148 AimedDepartureTime=1790 WaitTime=0 BaseTime=1924 RunTime=240	OptSolTime=1924
T8 Train148 AimedDepartureTime=2060 WaitTime=30 BaseTime=2194 RunTime=330	OptSolTime=2194
T7 Train148 AimedDepartureTime=2390 WaitTime=0 BaseTime=2524 RunTime=180	OptSolTime=2524
T6 Train148 AimedDepartureTime=2570 WaitTime=0 BaseTime=2704 RunTime=420	OptSolTime=2704

TrainId=151 Delay=264 FreeRun=230 	Final Delay=264
T23 Train151 AimedDepartureTime=0 WaitTime=30 BaseTime=264 RunTime=90	OptSolTime=264
T24 Train151 AimedDepartureTime=0 WaitTime=30 BaseTime=384 RunTime=110	OptSolTime=384
T25 Train151 AimedDepartureTime=0 WaitTime=0 BaseTime=494 RunTime=250	OptSolTime=494
