

TrainId=4 Delay=312 FreeRun=3650 	Final Delay=312
T23 Train4 AimedDepartureTime=0 WaitTime=30 BaseTime=312 RunTime=270	OptSolTime=312
T24 Train4 AimedDepartureTime=0 WaitTime=30 BaseTime=612 RunTime=170	OptSolTime=612
T25 Train4 AimedDepartureTime=480 WaitTime=10 BaseTime=792 RunTime=390	OptSolTime=792
T26 Train4 AimedDepartureTime=900 WaitTime=30 BaseTime=1212 RunTime=120	OptSolTime=1212
T27 Train4 AimedDepartureTime=1020 WaitTime=0 BaseTime=1332 RunTime=120	OptSolTime=1332
T28 Train4 AimedDepartureTime=1260 WaitTime=120 BaseTime=1572 RunTime=470	OptSolTime=1572
T29 Train4 AimedDepartureTime=1740 WaitTime=10 BaseTime=2052 RunTime=930	OptSolTime=2052
T30 Train4 AimedDepartureTime=2700 WaitTime=30 BaseTime=3012 RunTime=290	OptSolTime=3012
T31 Train4 AimedDepartureTime=3000 WaitTime=10 BaseTime=3312 RunTime=270	OptSolTime=3312
T32 Train4 AimedDepartureTime=3300 WaitTime=30 BaseTime=3612 RunTime=350	OptSolTime=3612
T33 Train4 AimedDepartureTime=3650 WaitTime=0 BaseTime=3962 RunTime=250	OptSolTime=3962

TrainId=6 Delay=185 FreeRun=4080 	Final Delay=185
T10 Train6 AimedDepartureTime=0 WaitTime=30 BaseTime=185 RunTime=300	OptSolTime=185
T11 Train6 AimedDepartureTime=300 WaitTime=0 BaseTime=485 RunTime=30	OptSolTime=485
T12 Train6 AimedDepartureTime=360 WaitTime=30 BaseTime=545 RunTime=150	OptSolTime=545
T13 Train6 AimedDepartureTime=540 WaitTime=30 BaseTime=725 RunTime=330	OptSolTime=725
T14 Train6 AimedDepartureTime=900 WaitTime=30 BaseTime=1085 RunTime=240	OptSolTime=1085
T15 Train6 AimedDepartureTime=1200 WaitTime=60 BaseTime=1385 RunTime=100	OptSolTime=1385
T16 Train6 AimedDepartureTime=1320 WaitTime=20 BaseTime=1505 RunTime=150	OptSolTime=1505
T17 Train6 AimedDepartureTime=1500 WaitTime=30 BaseTime=1685 RunTime=240	OptSolTime=1685
T18 Train6 AimedDepartureTime=1740 WaitTime=0 BaseTime=1925 RunTime=160	OptSolTime=1925
T19 Train6 AimedDepartureTime=1920 WaitTime=20 BaseTime=2105 RunTime=180	OptSolTime=2105
T20 Train6 AimedDepartureTime=2100 WaitTime=0 BaseTime=2285 RunTime=30	OptSolTime=2285
T21 Train6 AimedDepartureTime=2160 WaitTime=30 BaseTime=2345 RunTime=300	OptSolTime=2345
T22 Train6 AimedDepartureTime=2700 WaitTime=240 BaseTime=2885 RunTime=270	OptSolTime=2885
T23 Train6 AimedDepartureTime=3000 WaitTime=30 BaseTime=3185 RunTime=270	OptSolTime=3185
T24 Train6 AimedDepartureTime=3300 WaitTime=30 BaseTime=3485 RunTime=220	OptSolTime=3485
T25 Train6 AimedDepartureTime=3540 WaitTime=20 BaseTime=3725 RunTime=390	OptSolTime=3725
T26 Train6 AimedDepartureTime=3960 WaitTime=30 BaseTime=4145 RunTime=120	OptSolTime=4145
T27 Train6 AimedDepartureTime=4080 WaitTime=0 BaseTime=4265 RunTime=120	OptSolTime=4265

TrainId=7 Delay=160 FreeRun=660 	Final Delay=160
T8 Train7 AimedDepartureTime=0 WaitTime=30 BaseTime=160 RunTime=210	OptSolTime=160
T7 Train7 AimedDepartureTime=240 WaitTime=30 BaseTime=400 RunTime=90	OptSolTime=400
T5 Train7 AimedDepartureTime=330 WaitTime=0 BaseTime=490 RunTime=60	OptSolTime=490
T3 Train7 AimedDepartureTime=420 WaitTime=30 BaseTime=580 RunTime=240	OptSolTime=580
T1 Train7 AimedDepartureTime=660 WaitTime=0 BaseTime=820 RunTime=330	OptSolTime=820

TrainId=8 Delay=969 FreeRun=5310 	Final Delay=1261
T22 Train8 AimedDepartureTime=0 WaitTime=30 BaseTime=969 RunTime=450	OptSolTime=969
T21 Train8 AimedDepartureTime=0 WaitTime=180 BaseTime=1599 RunTime=300	OptSolTime=1599
T20 Train8 AimedDepartureTime=0 WaitTime=30 BaseTime=1929 RunTime=210	OptSolTime=1929
T19 Train8 AimedDepartureTime=0 WaitTime=0 BaseTime=2139 RunTime=180	OptSolTime=2431
T18 Train8 AimedDepartureTime=0 WaitTime=0 BaseTime=2319 RunTime=180	OptSolTime=2611
T17 Train8 AimedDepartureTime=1530 WaitTime=0 BaseTime=2499 RunTime=300	OptSolTime=2791
T16 Train8 AimedDepartureTime=1860 WaitTime=30 BaseTime=2829 RunTime=150	OptSolTime=3121
T15 Train8 AimedDepartureTime=2040 WaitTime=30 BaseTime=3009 RunTime=450	OptSolTime=3301
T14 Train8 AimedDepartureTime=2670 WaitTime=180 BaseTime=3639 RunTime=420	OptSolTime=3931
T13 Train8 AimedDepartureTime=3120 WaitTime=30 BaseTime=4089 RunTime=390	OptSolTime=4381
T12 Train8 AimedDepartureTime=3540 WaitTime=30 BaseTime=4509 RunTime=150	OptSolTime=4801
T11 Train8 AimedDepartureTime=3720 WaitTime=30 BaseTime=4689 RunTime=150	OptSolTime=4981
T10 Train8 AimedDepartureTime=3870 WaitTime=0 BaseTime=4839 RunTime=420	OptSolTime=5131
T9 Train8 AimedDepartureTime=4410 WaitTime=120 BaseTime=5379 RunTime=240	OptSolTime=5671
T8 Train8 AimedDepartureTime=4680 WaitTime=30 BaseTime=5649 RunTime=210	OptSolTime=5941
T7 Train8 AimedDepartureTime=4920 WaitTime=30 BaseTime=5889 RunTime=90	OptSolTime=6181
T5 Train8 AimedDepartureTime=5010 WaitTime=0 BaseTime=5979 RunTime=60	OptSolTime=6271
T3 Train8 AimedDepartureTime=5100 WaitTime=30 BaseTime=6069 RunTime=210	OptSolTime=6361
T1 Train8 AimedDepartureTime=5310 WaitTime=0 BaseTime=6279 RunTime=300	OptSolTime=6571

TrainId=9 Delay=0 FreeRun=6704 	Final Delay=231
T29 Train9 AimedDepartureTime=0 WaitTime=30 BaseTime=0 RunTime=870	OptSolTime=0
T28 Train9 AimedDepartureTime=890 WaitTime=20 BaseTime=890 RunTime=560	OptSolTime=890
T27 Train9 AimedDepartureTime=1510 WaitTime=60 BaseTime=1510 RunTime=195	OptSolTime=1510
T26 Train9 AimedDepartureTime=1705 WaitTime=0 BaseTime=1705 RunTime=165	OptSolTime=1705
T25 Train9 AimedDepartureTime=1900 WaitTime=30 BaseTime=1900 RunTime=390	OptSolTime=1900
T24 Train9 AimedDepartureTime=2300 WaitTime=10 BaseTime=2300 RunTime=310	OptSolTime=2300
T23 Train9 AimedDepartureTime=2640 WaitTime=30 BaseTime=2640 RunTime=330	OptSolTime=2640
T22 Train9 AimedDepartureTime=3000 WaitTime=30 BaseTime=3000 RunTime=270	OptSolTime=3231
T21 Train9 AimedDepartureTime=3270 WaitTime=0 BaseTime=3270 RunTime=120	OptSolTime=3501
T20 Train9 AimedDepartureTime=3420 WaitTime=30 BaseTime=3420 RunTime=150	OptSolTime=3651
T19 Train9 AimedDepartureTime=3570 WaitTime=0 BaseTime=3570 RunTime=180	OptSolTime=3801
T18 Train9 AimedDepartureTime=3750 WaitTime=0 BaseTime=3750 RunTime=240	OptSolTime=3981
T17 Train9 AimedDepartureTime=3990 WaitTime=0 BaseTime=3990 RunTime=180	OptSolTime=4221
T16 Train9 AimedDepartureTime=4170 WaitTime=0 BaseTime=4170 RunTime=68	OptSolTime=4401
T15 Train9 AimedDepartureTime=4238 WaitTime=0 BaseTime=4238 RunTime=112	OptSolTime=4469
T14 Train9 AimedDepartureTime=4350 WaitTime=0 BaseTime=4350 RunTime=240	OptSolTime=4581
T13 Train9 AimedDepartureTime=4620 WaitTime=30 BaseTime=4620 RunTime=450	OptSolTime=4851
T12 Train9 AimedDepartureTime=5190 WaitTime=120 BaseTime=5190 RunTime=211	OptSolTime=5421
T11 Train9 AimedDepartureTime=5401 WaitTime=0 BaseTime=5401 RunTime=89	OptSolTime=5632
T10 Train9 AimedDepartureTime=5490 WaitTime=0 BaseTime=5490 RunTime=360	OptSolTime=5721
T9 Train9 AimedDepartureTime=5910 WaitTime=60 BaseTime=5910 RunTime=180	OptSolTime=6141
T8 Train9 AimedDepartureTime=6120 WaitTime=30 BaseTime=6120 RunTime=210	OptSolTime=6351
T7 Train9 AimedDepartureTime=6360 WaitTime=30 BaseTime=6360 RunTime=129	OptSolTime=6591
T5 Train9 AimedDepartureTime=6489 WaitTime=0 BaseTime=6489 RunTime=50	OptSolTime=6720
T3 Train9 AimedDepartureTime=6539 WaitTime=0 BaseTime=6539 RunTime=165	OptSolTime=6770
T1 Train9 AimedDepartureTime=6704 WaitTime=0 BaseTime=6704 RunTime=286	OptSolTime=6935

TrainId=10 Delay=0 FreeRun=21861 	Final Delay=0
T1 Train10 AimedDepartureTime=16701 WaitTime=0 BaseTime=16701 RunTime=135	OptSolTime=16701
T2 Train10 AimedDepartureTime=16836 WaitTime=0 BaseTime=16836 RunTime=135	OptSolTime=16836
T4 Train10 AimedDepartureTime=17001 WaitTime=30 BaseTime=17001 RunTime=80	OptSolTime=17001
T6 Train10 AimedDepartureTime=17081 WaitTime=0 BaseTime=17081 RunTime=160	OptSolTime=17081
T8 Train10 AimedDepartureTime=17421 WaitTime=180 BaseTime=17421 RunTime=90	OptSolTime=17421
T9 Train10 AimedDepartureTime=17541 WaitTime=30 BaseTime=17541 RunTime=150	OptSolTime=17541
T10 Train10 AimedDepartureTime=17721 WaitTime=30 BaseTime=17721 RunTime=300	OptSolTime=17721
T11 Train10 AimedDepartureTime=18021 WaitTime=0 BaseTime=18021 RunTime=30	OptSolTime=18021
