

TrainId=20 Delay=121 FreeRun=1200 	Final Delay=180
T10 Train20 AimedDepartureTime=0 WaitTime=180 BaseTime=121 RunTime=420	OptSolTime=121
T9 Train20 AimedDepartureTime=420 WaitTime=0 BaseTime=541 RunTime=240	OptSolTime=541
T8 Train20 AimedDepartureTime=690 WaitTime=30 BaseTime=811 RunTime=330	OptSolTime=811
T7 Train20 AimedDepartureTime=1020 WaitTime=0 BaseTime=1141 RunTime=180	OptSolTime=1200
T6 Train20 AimedDepartureTime=1200 WaitTime=0 BaseTime=1321 RunTime=420	OptSolTime=1380

TrainId=53 Delay=93 FreeRun=3700 	Final Delay=93
T18 Train53 AimedDepartureTime=0 WaitTime=40 BaseTime=93 RunTime=280	OptSolTime=93
T17 Train53 AimedDepartureTime=310 WaitTime=30 BaseTime=403 RunTime=210	OptSolTime=403
T16 Train53 AimedDepartureTime=550 WaitTime=30 BaseTime=643 RunTime=150	OptSolTime=643
T15 Train53 AimedDepartureTime=730 WaitTime=30 BaseTime=823 RunTime=390	OptSolTime=823
T14 Train53 AimedDepartureTime=1300 WaitTime=180 BaseTime=1393 RunTime=420	OptSolTime=1393
T13 Train53 AimedDepartureTime=1750 WaitTime=30 BaseTime=1843 RunTime=114	OptSolTime=1843
T12 Train53 AimedDepartureTime=1864 WaitTime=0 BaseTime=1957 RunTime=156	OptSolTime=1957
T11 Train53 AimedDepartureTime=2050 WaitTime=30 BaseTime=2143 RunTime=305	OptSolTime=2143
T10 Train53 AimedDepartureTime=2355 WaitTime=0 BaseTime=2448 RunTime=205	OptSolTime=2448
T9 Train53 AimedDepartureTime=2560 WaitTime=0 BaseTime=2653 RunTime=240	OptSolTime=2653
T8 Train53 AimedDepartureTime=2830 WaitTime=30 BaseTime=2923 RunTime=322	OptSolTime=2923
T7 Train53 AimedDepartureTime=3152 WaitTime=0 BaseTime=3245 RunTime=368	OptSolTime=3245
T6 Train53 AimedDepartureTime=3700 WaitTime=180 BaseTime=3793 RunTime=660	OptSolTime=3793

TrainId=40 Delay=4978 FreeRun=4899 	Final Delay=5000
T9 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=4978 RunTime=297	OptSolTime=5000
T10 Train40 AimedDepartureTime=0 WaitTime=1140 BaseTime=6415 RunTime=273	OptSolTime=6437
T11 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=6688 RunTime=340	OptSolTime=6710
T12 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=7028 RunTime=113	OptSolTime=7050
T13 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=7141 RunTime=75	OptSolTime=7163
T14 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=7216 RunTime=219	OptSolTime=7238
T15 Train40 AimedDepartureTime=0 WaitTime=599 BaseTime=8034 RunTime=104	OptSolTime=8056
T16 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=8138 RunTime=137	OptSolTime=8160
T17 Train40 AimedDepartureTime=0 WaitTime=180 BaseTime=8455 RunTime=145	OptSolTime=8477
T18 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=8600 RunTime=177	OptSolTime=8622
T19 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=8777 RunTime=130	OptSolTime=8799
T20 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=8907 RunTime=43	OptSolTime=8929
T21 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=8950 RunTime=144	OptSolTime=8972
T22 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=9094 RunTime=81	OptSolTime=9116
T23 Train40 AimedDepartureTime=0 WaitTime=480 BaseTime=9655 RunTime=83	OptSolTime=9677
T24 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=9738 RunTime=139	OptSolTime=9760
T25 Train40 AimedDepartureTime=0 WaitTime=0 BaseTime=9877 RunTime=198	OptSolTime=9899

TrainId=59 Delay=0 FreeRun=9969 	Final Delay=0
T5 Train59 AimedDepartureTime=5820 WaitTime=1800 BaseTime=5820 RunTime=2232	OptSolTime=5820
T4 Train59 AimedDepartureTime=8052 WaitTime=0 BaseTime=8052 RunTime=308	OptSolTime=8052
T3 Train59 AimedDepartureTime=8360 WaitTime=0 BaseTime=8360 RunTime=820	OptSolTime=8360
T2 Train59 AimedDepartureTime=9420 WaitTime=240 BaseTime=9420 RunTime=549	OptSolTime=9420
T1 Train59 AimedDepartureTime=9969 WaitTime=0 BaseTime=9969 RunTime=299	OptSolTime=9969

TrainId=60 Delay=1 FreeRun=7574 	Final Delay=2694
T20 Train60 AimedDepartureTime=0 WaitTime=0 BaseTime=1 RunTime=59	OptSolTime=1
T19 Train60 AimedDepartureTime=59 WaitTime=0 BaseTime=60 RunTime=178	OptSolTime=60
T18 Train60 AimedDepartureTime=237 WaitTime=0 BaseTime=238 RunTime=227	OptSolTime=373
T17 Train60 AimedDepartureTime=464 WaitTime=0 BaseTime=465 RunTime=556	OptSolTime=613
T16 Train60 AimedDepartureTime=1380 WaitTime=360 BaseTime=1381 RunTime=502	OptSolTime=1529
T15 Train60 AimedDepartureTime=1882 WaitTime=0 BaseTime=1883 RunTime=101	OptSolTime=2031
T14 Train60 AimedDepartureTime=1983 WaitTime=0 BaseTime=1984 RunTime=208	OptSolTime=2132
T13 Train60 AimedDepartureTime=2191 WaitTime=0 BaseTime=2192 RunTime=104	OptSolTime=2340
T12 Train60 AimedDepartureTime=2295 WaitTime=0 BaseTime=2296 RunTime=155	OptSolTime=2444
T11 Train60 AimedDepartureTime=2450 WaitTime=0 BaseTime=2451 RunTime=407	OptSolTime=2599
