

TrainId=67 Delay=0 FreeRun=7386 	Final Delay=1540
T25 Train67 AimedDepartureTime=2626 WaitTime=60 BaseTime=2626 RunTime=212	OptSolTime=2626
T24 Train67 AimedDepartureTime=2838 WaitTime=0 BaseTime=2838 RunTime=148	OptSolTime=2838
T23 Train67 AimedDepartureTime=3016 WaitTime=30 BaseTime=3016 RunTime=150	OptSolTime=3016
T22 Train67 AimedDepartureTime=3196 WaitTime=30 BaseTime=3196 RunTime=150	OptSolTime=3196
T21 Train67 AimedDepartureTime=3376 WaitTime=30 BaseTime=3376 RunTime=149	OptSolTime=3376
T20 Train67 AimedDepartureTime=3525 WaitTime=0 BaseTime=3525 RunTime=45	OptSolTime=3586
T19 Train67 AimedDepartureTime=3570 WaitTime=0 BaseTime=3570 RunTime=196	OptSolTime=3631
T18 Train67 AimedDepartureTime=3826 WaitTime=60 BaseTime=3826 RunTime=300	OptSolTime=3887
T17 Train67 AimedDepartureTime=4156 WaitTime=30 BaseTime=4156 RunTime=210	OptSolTime=4217
T16 Train67 AimedDepartureTime=4396 WaitTime=30 BaseTime=4396 RunTime=210	OptSolTime=4457
T15 Train67 AimedDepartureTime=4636 WaitTime=30 BaseTime=4636 RunTime=150	OptSolTime=4697
T14 Train67 AimedDepartureTime=4816 WaitTime=30 BaseTime=4816 RunTime=208	OptSolTime=4877
T13 Train67 AimedDepartureTime=5024 WaitTime=0 BaseTime=5024 RunTime=80	OptSolTime=5085
T12 Train67 AimedDepartureTime=5104 WaitTime=0 BaseTime=5104 RunTime=162	OptSolTime=5165
T11 Train67 AimedDepartureTime=5306 WaitTime=40 BaseTime=5306 RunTime=700	OptSolTime=6846
T10 Train67 AimedDepartureTime=6186 WaitTime=180 BaseTime=6186 RunTime=420	OptSolTime=7726
T9 Train67 AimedDepartureTime=6606 WaitTime=0 BaseTime=6606 RunTime=240	OptSolTime=8146
T8 Train67 AimedDepartureTime=6876 WaitTime=30 BaseTime=6876 RunTime=330	OptSolTime=8416
T7 Train67 AimedDepartureTime=7206 WaitTime=0 BaseTime=7206 RunTime=180	OptSolTime=8746
T6 Train67 AimedDepartureTime=7386 WaitTime=0 BaseTime=7386 RunTime=480	OptSolTime=8926

TrainId=68 Delay=0 FreeRun=4116 	Final Delay=0
T6 Train68 AimedDepartureTime=466 WaitTime=0 BaseTime=466 RunTime=300	OptSolTime=466
T7 Train68 AimedDepartureTime=766 WaitTime=0 BaseTime=766 RunTime=180	OptSolTime=766
T8 Train68 AimedDepartureTime=946 WaitTime=0 BaseTime=946 RunTime=270	OptSolTime=946
T9 Train68 AimedDepartureTime=1246 WaitTime=30 BaseTime=1246 RunTime=240	OptSolTime=1246
T10 Train68 AimedDepartureTime=1486 WaitTime=0 BaseTime=1486 RunTime=240	OptSolTime=1486
T11 Train68 AimedDepartureTime=1726 WaitTime=0 BaseTime=1726 RunTime=320	OptSolTime=1726
T12 Train68 AimedDepartureTime=2086 WaitTime=40 BaseTime=2086 RunTime=107	OptSolTime=2086
T13 Train68 AimedDepartureTime=2193 WaitTime=0 BaseTime=2193 RunTime=72	OptSolTime=2193
T14 Train68 AimedDepartureTime=2265 WaitTime=0 BaseTime=2265 RunTime=211	OptSolTime=2265
T15 Train68 AimedDepartureTime=2506 WaitTime=30 BaseTime=2506 RunTime=150	OptSolTime=2506
T16 Train68 AimedDepartureTime=2686 WaitTime=30 BaseTime=2686 RunTime=90	OptSolTime=2686
T17 Train68 AimedDepartureTime=2806 WaitTime=30 BaseTime=2806 RunTime=150	OptSolTime=2806
T18 Train68 AimedDepartureTime=2986 WaitTime=30 BaseTime=2986 RunTime=300	OptSolTime=2986
T19 Train68 AimedDepartureTime=3466 WaitTime=180 BaseTime=3466 RunTime=90	OptSolTime=3466
T20 Train68 AimedDepartureTime=3556 WaitTime=0 BaseTime=3556 RunTime=30	OptSolTime=3556
T21 Train68 AimedDepartureTime=3586 WaitTime=0 BaseTime=3586 RunTime=150	OptSolTime=3586
T22 Train68 AimedDepartureTime=3766 WaitTime=30 BaseTime=3766 RunTime=90	OptSolTime=3766
T23 Train68 AimedDepartureTime=3886 WaitTime=30 BaseTime=3886 RunTime=90	OptSolTime=3886
T24 Train68 AimedDepartureTime=4006 WaitTime=30 BaseTime=4006 RunTime=110	OptSolTime=4006
T25 Train68 AimedDepartureTime=4116 WaitTime=0 BaseTime=4116 RunTime=250	OptSolTime=4116

TrainId=69 Delay=0 FreeRun=7621 	Final Delay=0
T1 Train69 AimedDepartureTime=3483 WaitTime=0 BaseTime=3483 RunTime=199	OptSolTime=3483
T2 Train69 AimedDepartureTime=3682 WaitTime=0 BaseTime=3682 RunTime=159	OptSolTime=3682
T3 Train69 AimedDepartureTime=3841 WaitTime=0 BaseTime=3841 RunTime=326	OptSolTime=3841
T4 Train69 AimedDepartureTime=4167 WaitTime=0 BaseTime=4167 RunTime=208	OptSolTime=4167
T5 Train69 AimedDepartureTime=4375 WaitTime=0 BaseTime=4375 RunTime=291	OptSolTime=4375
T6 Train69 AimedDepartureTime=4726 WaitTime=60 BaseTime=4726 RunTime=356	OptSolTime=4726
T7 Train69 AimedDepartureTime=5082 WaitTime=0 BaseTime=5082 RunTime=190	OptSolTime=5082
T8 Train69 AimedDepartureTime=5272 WaitTime=0 BaseTime=5272 RunTime=354	OptSolTime=5272
T9 Train69 AimedDepartureTime=5806 WaitTime=180 BaseTime=5806 RunTime=242	OptSolTime=5806
T10 Train69 AimedDepartureTime=6048 WaitTime=0 BaseTime=6048 RunTime=212	OptSolTime=6048
T11 Train69 AimedDepartureTime=6260 WaitTime=0 BaseTime=6260 RunTime=302	OptSolTime=6260
