Instance1 obj=6296 conflicts=35 iters=11 t1=0.4405011 t2=0.6629911
Instance2 obj=5913.999999999985 conflicts=25 iters=5 t1=0.1106038 t2=0.3399702
Instance3 obj=2734.9999999999545 conflicts=17 iters=5 t1=0.0519826 t2=0.2594422
Instance4 obj=2994.999999999984 conflicts=11 iters=4 t1=0.0495687 t2=0.2379471
Instance5 obj=2842.9999999999854 conflicts=10 iters=3 t1=0.0209083 t2=0.2117777
Instance6 obj=2060.9999999998836 conflicts=4 iters=2 t1=0.0064562 t2=0.1842093
Instance7 obj=2647.999999999982 conflicts=6 iters=3 t1=0.0097651 t2=0.1654542
Instance8 obj=16749 conflicts=86 iters=10 t1=5.7691977 t2=6.0006789
Instance9 obj=7227.999999999894 conflicts=32 iters=10 t1=0.2718417 t2=0.4823997
Instance10 obj=4758 conflicts=20 iters=4 t1=0.0616097 t2=0.2718962
Instance11 obj=969 conflicts=6 iters=4 t1=0.0220055 t2=0.2239947
Instance12 obj=997.4999999999854 conflicts=1 iters=2 t1=0.0023645 t2=0.181381
Instance13 obj=905.7499999999854 conflicts=4 iters=3 t1=0.011846 t2=0.1729549
Instance14 obj=8655.999999999942 conflicts=10 iters=4 t1=0.0223563 t2=0.2334975
Instance15 obj=462 conflicts=3 iters=3 t1=0.0068504 t2=0.1920553
Instance16 obj=448.9999999999782 conflicts=1 iters=2 t1=0.0024026 t2=0.1806383
Instance17 obj=15395 conflicts=26 iters=7 t1=0.2438846 t2=0.4562555
Instance18 obj=675.9999999999854 conflicts=1 iters=2 t1=0.0053629 t2=0.1820617
Instance19 obj=6052.5 conflicts=7 iters=3 t1=0.007078 t2=0.1804348
Instance20 obj=5092.5 conflicts=9 iters=3 t1=0.0104719 t2=0.1885036
Instance21 obj=3966.9999999994006 conflicts=51 iters=4 t1=0.2160756 t2=0.4313643
Instance22 obj=6056.9999999997235 conflicts=73 iters=7 t1=1.078168 t2=1.3083763
Instance23 obj=17264 conflicts=66 iters=15 t1=1.9134331 t2=2.131403
Instance24 obj=1386 conflicts=4 iters=3 t1=0.010392 t2=0.1976863
