Inst;BigM obj;BigM time;#Var;#Con;DDD obj;DDD time;#Nod (Init);#Edg
1;32;3269;5977;11842;32;51963;6485 (571);810372
2;35;1678;3650;7204;35;8965;3652 (433);300884
3;17;504;2234;4404;17;1731;2114 (338);43623
4;14;170;1221;2394;14;788;1320 (242);24127
5;15;94;992;1936;15;557;885 (212);16692
6;11;46;410;788;11;81;326 (136);794
7;10;62;205;378;10;48;274 (89);898
8;35;2201;4440;8780;35;10725;4353 (476);234664
9;25;401;2547;5018;24;10288;3135 (361);583682
10;17;132;1716;3368;17;2217;1170 (285);190879
11;20;187;2113;4154;20;437;1133 (288);8042
12;6;18;151;282;6;34;222 (67);832
13;5;20;209;398;5;28;204 (78);400
14;19;221;2047;4030;19;1646;1510 (275);42031
15;6;22;214;408;6;63;354 (83);6809
16;5;62;161;302;5;33;169 (70);256
17;21;258;2356;4640;21;1777;1614 (300);40752
18;6;25;125;234;6;44;195 (59);721
19;7;16;171;318;7;16;133 (72);93
20;6;51;148;272;6;4;93 (66);23
